iter	Passed	Remaining
0	6	5845
1	9	4509
2	12	3803
3	15	3648
4	18	3579
5	21	3379
6	23	3191
7	25	3036
8	27	2902
9	30	2862
10	32	2803
11	34	2726
12	36	2649
13	38	2595
14	41	2557
15	43	2516
16	45	2479
17	47	2475
18	49	2448
19	52	2421
20	54	2400
21	56	2379
22	58	2358
23	60	2337
24	62	2326
25	65	2310
26	67	2297
27	69	2283
28	71	2268
29	73	2266
30	75	2252
31	78	2242
32	80	2240
33	82	2230
34	84	2218
35	86	2207
36	89	2209
37	91	2195
38	94	2210
39	97	2207
40	99	2198
41	101	2185
42	103	2181
43	105	2172
44	108	2177
45	110	2166
46	112	2165
47	114	2155
48	116	2149
49	119	2144
50	121	2143
51	123	2135
52	125	2129
53	129	2150
54	131	2145
55	134	2144
56	136	2142
57	138	2134
58	141	2129
59	143	2125
60	145	2122
61	148	2124
62	150	2123
63	153	2121
64	155	2118
65	157	2114
66	160	2110
67	162	2112
68	165	2108
69	167	2107
70	170	2108
71	172	2105
72	174	2101
73	177	2101
74	180	2100
75	182	2098
76	184	2095
77	187	2090
78	189	2086
79	191	2082
80	193	2080
81	196	2077
82	198	2077
83	200	2065
84	203	2066
85	205	2062
86	207	2061
87	210	2061
88	212	2059
89	215	2055
90	217	2050
91	219	2046
92	222	2049
93	224	2043
94	226	2037
95	229	2038
96	231	2037
97	234	2036
98	236	2036
99	240	2040
100	242	2041
101	245	2037
102	247	2032
103	249	2029
104	251	2025
105	254	2022
106	256	2020
107	259	2019
108	261	2015
109	263	2009
110	265	2004
111	267	1999
112	269	1995
113	271	1991
114	274	1989
115	276	1988
116	278	1985
117	281	1981
118	283	1978
119	285	1974
120	287	1970
121	289	1965
122	291	1961
123	293	1956
124	295	1953
125	297	1948
126	300	1945
127	302	1941
128	304	1937
129	306	1932
130	309	1931
131	311	1929
132	313	1925
133	315	1922
134	317	1919
135	319	1915
136	321	1910
137	324	1909
138	326	1906
139	329	1903
140	331	1901
141	333	1896
142	335	1893
143	337	1889
144	340	1888
145	342	1886
146	344	1883
147	346	1879
148	348	1875
149	350	1871
150	353	1868
151	355	1864
152	357	1861
153	359	1857
154	361	1853
155	363	1848
156	365	1846
157	367	1844
158	369	1839
159	371	1835
160	373	1832
161	375	1827
162	377	1824
163	380	1821
164	382	1818
165	384	1815
166	386	1812
167	388	1810
168	390	1806
169	393	1803
170	395	1801
171	397	1798
172	399	1794
173	401	1791
174	403	1787
175	405	1783
176	407	1780
177	409	1777
178	411	1774
179	413	1770
180	415	1767
181	418	1764
182	420	1763
183	422	1760
184	425	1757
185	427	1754
186	429	1751
187	431	1748
188	433	1745
189	435	1741
190	437	1738
191	439	1735
192	441	1732
193	444	1731
194	446	1729
195	448	1726
196	451	1725
197	453	1723
198	456	1723
199	459	1722
200	461	1719
201	463	1715
202	465	1714
203	468	1712
204	470	1710
205	473	1708
206	475	1707
207	479	1709
208	481	1705
209	484	1706
210	486	1704
211	488	1701
212	491	1699
213	493	1696
214	495	1694
215	497	1692
216	500	1690
217	502	1688
218	505	1686
219	507	1683
220	509	1680
221	511	1678
222	514	1678
223	517	1678
224	519	1675
225	521	1672
226	523	1668
227	526	1665
228	528	1663
229	530	1660
230	533	1659
231	535	1658
232	538	1657
233	541	1655
234	543	1652
235	545	1649
236	547	1648
237	550	1647
238	553	1645
239	555	1643
240	560	1648
241	562	1646
242	566	1646
243	568	1644
244	570	1641
245	572	1638
246	574	1635
247	576	1632
248	579	1630
249	581	1628
250	584	1626
251	586	1624
252	588	1621
253	590	1619
254	593	1616
255	595	1614
256	597	1612
257	600	1609
258	602	1606
259	604	1604
260	606	1602
261	609	1600
262	611	1597
263	614	1596
264	616	1594
265	619	1592
266	621	1589
267	623	1587
268	625	1584
269	628	1582
270	630	1580
271	632	1577
272	635	1575
273	637	1574
274	640	1573
275	643	1572
276	646	1570
277	650	1571
278	652	1569
279	655	1568
280	658	1566
281	660	1564
282	662	1562
283	664	1559
284	666	1556
285	668	1553
286	671	1550
287	673	1547
288	675	1546
289	678	1543
290	680	1541
291	682	1538
292	684	1535
293	687	1533
294	689	1530
295	691	1527
296	693	1524
297	695	1522
298	698	1520
299	700	1517
300	702	1515
301	705	1513
302	707	1510
303	709	1507
304	711	1504
305	713	1502
306	715	1499
307	717	1496
308	720	1493
309	722	1491
310	724	1489
311	727	1487
312	729	1484
313	731	1481
314	734	1480
315	736	1478
316	738	1475
317	741	1473
318	743	1470
319	745	1468
320	747	1465
321	750	1462
322	752	1460
323	754	1457
324	756	1455
325	758	1452
326	760	1449
327	762	1446
328	765	1444
329	767	1442
330	770	1440
331	772	1438
332	774	1435
333	776	1432
334	778	1429
335	780	1426
336	783	1424
337	785	1422
338	788	1420
339	790	1417
340	792	1415
341	794	1412
342	796	1410
343	799	1407
344	801	1404
345	803	1402
346	805	1400
347	808	1398
348	810	1396
349	812	1393
350	814	1390
351	817	1388
352	819	1385
353	821	1383
354	824	1381
355	826	1378
356	828	1376
357	830	1373
358	832	1370
359	834	1367
360	836	1365
361	839	1363
362	841	1360
363	843	1358
364	845	1355
365	848	1353
366	850	1350
367	852	1347
368	854	1345
369	856	1342
370	858	1340
371	860	1337
372	863	1335
373	865	1333
374	867	1330
375	869	1327
376	872	1325
377	874	1323
378	876	1320
379	878	1318
380	881	1315
381	883	1313
382	885	1311
383	887	1308
384	890	1306
385	892	1303
386	894	1301
387	896	1298
388	898	1295
389	900	1293
390	902	1290
391	905	1288
392	907	1285
393	909	1283
394	911	1280
395	913	1278
396	915	1275
397	917	1272
398	919	1270
399	921	1267
400	924	1265
401	926	1262
402	928	1260
403	930	1257
404	933	1255
405	935	1253
406	937	1251
407	940	1249
408	942	1247
409	944	1244
410	946	1241
411	949	1239
412	951	1237
413	953	1234
414	955	1231
415	957	1229
416	959	1227
417	961	1224
418	963	1221
419	965	1218
420	968	1216
421	970	1213
422	972	1211
423	974	1208
424	977	1207
425	980	1206
426	982	1203
427	984	1201
428	987	1198
429	989	1196
430	991	1193
431	993	1191
432	995	1188
433	997	1186
434	999	1183
435	1002	1181
436	1004	1179
437	1006	1176
438	1008	1174
439	1010	1171
440	1013	1169
441	1015	1167
442	1017	1164
443	1019	1162
444	1021	1159
445	1024	1157
446	1025	1154
447	1028	1151
448	1030	1149
449	1032	1147
450	1034	1145
451	1036	1142
452	1038	1139
453	1041	1137
454	1043	1135
455	1045	1132
456	1047	1129
457	1049	1127
458	1052	1125
459	1054	1123
460	1056	1120
461	1058	1118
462	1060	1115
463	1063	1113
464	1065	1111
465	1068	1109
466	1070	1107
467	1072	1104
468	1074	1101
469	1076	1099
470	1079	1097
471	1081	1095
472	1083	1092
473	1085	1090
474	1088	1088
475	1090	1085
476	1092	1083
477	1095	1081
478	1097	1079
479	1099	1076
480	1101	1074
481	1104	1071
482	1106	1069
483	1108	1067
484	1110	1064
485	1112	1062
486	1115	1060
487	1117	1057
488	1119	1055
489	1121	1053
490	1123	1050
491	1125	1047
492	1128	1045
493	1130	1043
494	1132	1040
495	1134	1038
496	1136	1036
497	1139	1033
498	1141	1031
499	1143	1029
500	1145	1026
501	1147	1024
502	1149	1021
503	1152	1019
504	1154	1017
505	1156	1014
506	1159	1012
507	1161	1010
508	1163	1007
509	1165	1005
510	1167	1002
511	1169	1000
512	1171	997
513	1173	995
514	1176	993
515	1178	990
516	1180	988
517	1182	986
518	1184	983
519	1186	981
520	1189	979
521	1191	976
522	1193	974
523	1195	972
524	1198	969
525	1200	967
526	1202	965
527	1204	962
528	1207	960
529	1209	958
530	1211	955
531	1213	953
532	1216	951
533	1218	949
534	1220	946
535	1222	944
536	1224	941
537	1226	939
538	1228	936
539	1231	934
540	1233	932
541	1235	929
542	1237	927
543	1239	925
544	1242	923
545	1244	920
546	1246	918
547	1248	915
548	1250	913
549	1253	911
550	1255	909
551	1257	906
